vin,year,make,model,trim,pricecategory,price,mileage,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,cartype,ReliabilityRank,CostOfLivingRank,CostOfLivingIndex,TransportationIndex,BrandPercentSales,BrandAvgDaysToTurn,CarClass,ReviewScore,AvgMPG
KNDJT2A22B7227059,2011,KIA,SOUL,+ AUTOMATIC,EXCELLENT PRICE,4995,155546,HOUSTON,TX,BLUE,BLACK,0,3,PERSONAL,N,WAGON,14.0,14,91.7,91.1,3.9890632445645786,73.38461538461539,AFFORDABLE SMALL CARS,8.5,28.5
NM0LS7E77H1300904,2017,FORD,TRANSIT CONNECT VAN,XL WITH REAR SYMMETRICAL DOORS LWB,EXCELLENT PRICE,11500,101010,AUSTIN,TX,WHITE,BLACK,0,1,PERSONAL,N,VAN/MINIVAN,10.0,14,91.7,91.1,13.832688602095642,71.61538461538461,,,
JT8BH68X6W0010433,1998,LEXUS,GS,GS 400,EXCELLENT PRICE,4477,236086,PUYALLUP,WA,WHITE,UNKNOWN,0,7,FLEET,Y,SEDAN,2.0,39,112.2,118.6,1.6699578894174951,54.30769230769231,LUXURY MIDSIZE CARS,8.2,27.0
ZACCJBBT6GPC53194,2016,JEEP,RENEGADE,LATITUDE 4WD,EXCELLENT PRICE,14532,83276,NORTHUMBERLAND,PA,WHITE,BLACK,0,1,PERSONAL,Y,SUV,26.0,34,103.2,111.4,5.534839958792396,74.23076923076923,AFFORDABLE SUBCOMPACT SUVS,7.1,25.0
1HGCP2F64CA040145,2012,HONDA,ACCORD,SE SEDAN I4 AUTOMATIC,EXCELLENT PRICE,8995,80314,FT MYERS,FL,BLACK,BLACK,0,2,PERSONAL,Y,SEDAN,18.0,27,99.2,98.7,8.336902292535045,48.69230769230769,AFFORDABLE MIDSIZE CARS,8.1,34.0
1FM5K8D81HGA59524,2017,FORD,EXPLORER,XLT 4WD,GREAT PRICE,26995,26632,EL PASO,TX,BLACK,BLACK,0,1,PERSONAL,N,SUV,10.0,14,91.7,91.1,13.832688602095642,71.61538461538461,AFFORDABLE MIDSIZE SUVS,7.3,20.5
5XXGU4L31GG071667,2016,KIA,OPTIMA,EX,EXCELLENT PRICE,12458,60450,RALEIGH,NC,BLUE,GRAY,0,1,PERSONAL,Y,SEDAN,14.0,22,95.5,93.6,3.9890632445645786,73.38461538461539,AFFORDABLE MIDSIZE CARS,8.4,28.5
4JGBF8GE9CA783188,2012,MERCEDES-BENZ,GL,GL 550 4MATIC,EXCELLENT PRICE,15995,110998,FORT WORTH,TX,BLACK,UNKNOWN,0,2,PERSONAL,N,,22.0,14,91.7,91.1,2.208680273976825,57.92307692307692,,,
WDDGJ4HB3DG048717,2013,MERCEDES-BENZ,CCLASS,C 250 COUPE RWD,EXCELLENT PRICE,14777,28335,SANTA ANA,CA,SILVER,BLACK,0,2,PERSONAL,Y,SEDAN,22.0,49,142.7,133.0,2.208680273976825,57.92307692307692,,,
19XFB2F59CE054492,2012,HONDA,CIVIC,LX SEDAN AUTOMATIC,EXCELLENT PRICE,8691,91648,NORWOOD,MA,WHITE,UNKNOWN,2,4,FLEET,Y,SEDAN,18.0,47,129.7,111.9,8.336902292535045,48.69230769230769,AFFORDABLE SMALL CARS,8.2,34.0
JHLRD78893C018761,2003,HONDA,CRV,EX 4WD AUTOMATIC,EXCELLENT PRICE,5500,190847,BURIEN,WA,SILVER,BLACK,1,4,PERSONAL,Y,SUV,18.0,39,112.2,118.6,8.336902292535045,48.69230769230769,,,
2HGFA16538H341093,2008,HONDA,CIVIC,LX SEDAN AUTOMATIC,EXCELLENT PRICE,4490,124026,EVERETT,WA,SILVER,GRAY,1,1,PERSONAL,Y,SEDAN,18.0,39,112.2,118.6,8.336902292535045,48.69230769230769,AFFORDABLE SMALL CARS,8.2,34.0
