yearmakemodel,price,milerange,location,hotcar,pricediff,timeonmkt,pricechange,trim,transmission,engine,drivetrain,VIN,fueltype,exteriorcol,interiorcol,condition,odometer,mpg,bodytype,heatedseats,leather,sunmoomroof,powerseat,premiumwheels
2017 Audi Q5 3.0T Premium Plus,$29880,33k Miles,Seattle WA,?,7%,62,+$1000,3.0T Premium Plus,Automatic,3.0L V6 Turbocharged DOHC 24V ULEV II 272hp,AWD,WA1D7AFP8HA035960,?,Moonlight Blue Metallic,Titanium Gray,Used,32561,?,Suv,True,True,True,True,False
2019 Dodge Journey GT,$20397,23k Miles,Newark NJ,Hot Car,9%,73,-$1100,GT,Automatic,V6 Cylinder Engine,AWD,3C4PDDEG5KT784665,Gasoline,Vice White,Black/Red,Used,23338,16 city / 24 hwy,Suv,False,True,False,False,False
2019 Kia Soul +,$14397,30k Miles,New York NY,?,7%,18,-$100,+,Automatic,4,FWD,KNDJP3A55K7013462,?,Titanium Gray,Black,Used,30238,?,Wagon,False,False,False,False,False
2017 GMC Acadia Denali,$30188,21k Miles,Derby CT,?,11%,18,$0,Denali,Automatic,3.6L V6 SIDI DOHC VVT,4WD,1GKKNXLS6HZ297836,?,Black Cherry Metallic,Jet black,Used,20925,?,Suv,True,True,True,True,False
2019 Chevrolet Impala LT,$18484,21k Miles,Massapequa NY,?,2%,20,-$297,LT,Automatic,4 Cylinder,FWD,1G11Z5SA4KU140649,Gasoline,Silverblade,Bla,Used,20965,22 city / 29 hwy,Sedan,False,False,False,False,False
2020 Chevrolet Trax LT,$24226,42 Miles,Huntington NY,?,17%,58,+$4500,LT,Automatic,4 Cylinder Engine,AWD,3GNCJPSB3LL188237,?,Silver Ice Metallic,Jet Black,New,42,?,Suv,False,False,False,False,True
2020 Chevrolet Equinox LT,$29585,0 Miles,Huntington NY,?,15%,41,+$750,LT,Automatic,4 Cylinder Engine,4WD,2GNAXUEV1L6250782,?,Mosaic Black Metallic,Jet Black,New,0,?,Suv,True,True,False,True,True
2018 Ford Explorer XLT,$32995,24k Miles,Long Island City NY,Hot Car,11%,28,$0,XLT,Automatic,3.5L 6-Cylinder SMPI DOHC,AWD,1FM5K8D87JGB37410,?,Black,Black,Used,24222,?,Suv,False,True,False,True,True
2020 Mitsubishi Mirage ES,$15129,2 Miles,Bronx NY,?,5%,52,-$250,ES,?,1.2L 3-Cylinder DOHC MIVEC,FWD,ML32A3HJ9LH006442,?,Mystic Black Metallic,?,New,2,?,Hatchback,False,False,False,False,False
2017 Toyota Camry LE,$13995,42k Miles,Derby CT,Hot Car,11%,315,-$893,LE,Automatic,2.5L I4 SMPI DOHC,FWD,4T1BF1FK5HU656832,?,?,?,Used,42427,?,Sedan,False,False,False,True,False
2020 Chevrolet Trax LS,Accepting Offers,15 Miles,Clifton NJ,?,0%,220,+$3000,LS,Automatic,ECOTEC 1.4L I4 SMPI DOHC Turbocharged VVT,AWD,KL7CJNSB4LB055787,?,Summit White,Black,New,15,?,Suv,False,False,False,False,False
2019 Dodge Grand Caravan GT,$18097,36k Miles,Providence RI,?,0%,24,-$200,GT,Automatic,V6 Cylinder Engine,FWD,2C4RDGEG0KR712219,Flex fuel,Billet Clearcoat,Black,Used,35675,17 city / 25 hwy,Van,False,True,False,False,False
2020 Chevrolet Traverse Premier,$48940,Mileage Unknown,Little Falls NJ,?,6%,18,$0,Premier,Automatic,3.6L V6 SIDI VVT,4WD,1GNEVKKW7LJ284429,?,Mosaic Black Metallic,Jet Black,New,?,?,Suv,True,True,True,True,False
2019 GMC Terrain SLT,$19975,39k Miles,Smithtown NY,Hot Car,3%,33,-$900,SLT,Automatic,4 Cylinder,FWD,3GKALPEV1KL188756,Gasoline,Quicksilver Metallic,Jet Black,Used,39266,26 city / 30 hwy,Suv,False,True,False,False,False
2018 Kia Soul +,$14995,23k Miles,Woodbridge NJ,?,1%,31,$0,+,Automatic,4 Cylinder,FWD,KNDJP3A54J7601867,?,Gray,Black,Used,23169,?,Wagon,False,False,False,False,False
2019 Chevrolet Cruze LT,$12995,24k Miles,Great Neck NY,Hot Car,11%,26,$0,LT,Automatic,?,FWD,1G1BE5SM2K7144353,?,Silver Ice Metallic,?,Used,23532,?,Sedan,False,False,False,False,True
2019 Dodge Journey GT,$20397,23k Miles,Newark NJ,Hot Car,9%,73,-$1100,GT,Automatic,V6 Cylinder Engine,AWD,3C4PDDEG5KT784665,Gasoline,Vice White,Black/Red,Used,23338,16 city / 24 hwy,Suv,False,True,False,False,False
2019 Kia Soul +,$14397,30k Miles,New York NY,?,7%,18,-$100,+,Automatic,4,FWD,KNDJP3A55K7013462,?,Titanium Gray,Black,Used,30238,?,Wagon,False,False,False,False,False
2017 GMC Acadia Denali,$30188,21k Miles,Derby CT,?,11%,18,$0,Denali,Automatic,3.6L V6 SIDI DOHC VVT,4WD,1GKKNXLS6HZ297836,?,Black Cherry Metallic,Jet black,Used,20925,?,Suv,True,True,True,True,False
2019 Chevrolet Impala LT,$18484,21k Miles,Massapequa NY,?,2%,20,-$297,LT,Automatic,4 Cylinder,FWD,1G11Z5SA4KU140649,Gasoline,Silverblade,Bla,Used,20965,22 city / 29 hwy,Sedan,False,False,False,False,False
2020 Chevrolet Trax LT,$24226,42 Miles,Huntington NY,?,17%,58,+$4500,LT,Automatic,4 Cylinder Engine,AWD,3GNCJPSB3LL188237,?,Silver Ice Metallic,Jet Black,New,42,?,Suv,False,False,False,False,True
2020 Chevrolet Equinox LT,$29585,0 Miles,Huntington NY,?,15%,41,+$750,LT,Automatic,4 Cylinder Engine,4WD,2GNAXUEV1L6250782,?,Mosaic Black Metallic,Jet Black,New,0,?,Suv,True,True,False,True,True
2018 Ford Explorer XLT,$32995,24k Miles,Long Island City NY,Hot Car,11%,28,$0,XLT,Automatic,3.5L 6-Cylinder SMPI DOHC,AWD,1FM5K8D87JGB37410,?,Black,Black,Used,24222,?,Suv,False,True,False,True,True
