yearmakemodel,price,milerange,location,hotcar,pricediff,timeonmkt,pricechange,trim,transmission,engine,drivetrain,VIN,fueltype,exteriorcol,interiorcol,condition,odometer,mpg,bodytype,heatedseats,leather,sunmoomroof,powerseat,premiumwheels
2020 Nissan Kicks S,$16205,17 Miles,Peoria AZ,?,12%,163,-$3372,S,Automatic,I-4 cyl-1.6L,FWD,3N1CP5BVXLL512972,Gasoline,Brilliant Silver,Charcoal,New,17,31 city / 36 hwy,Wagon,False,False,False,False,False
2020 Nissan Rogue S,$20364,5 Miles,Peoria AZ,?,7%,34,$0,S,Automatic,I-4 cyl-2.5L,FWD,5N1AT2MT0LC802610,Gasoline,KAD Gun Metall,Charcoal,New,5,26 city / 33 hwy,Wagon,False,False,False,False,False
2020 Nissan Rogue S,$21089,5 Miles,Peoria AZ,?,4%,35,$0,S,Automatic,I-4 cyl-2.5L,FWD,5N1AT2MT4LC799761,Gasoline,KAD Gun Metall,Charcoal,New,5,26 city / 33 hwy,Wagon,False,False,False,False,False
2020 Nissan Rogue SV,$23366,5 Miles,Peoria AZ,?,0%,34,$0,SV,Automatic,I-4 cyl-2.5L,FWD,5N1AT2MT5LC801646,Gasoline,QAB  Whit,P/ALMOND,New,5,26 city / 33 hwy,Wagon,False,True,False,False,False
2020 Nissan Rogue S,$21089,5 Miles,Peoria AZ,?,4%,35,$0,S,Automatic,I-4 cyl-2.5L,FWD,5N1AT2MT9LC799626,Gasoline,RBY Caspian BL,Charcoal,New,5,26 city / 33 hwy,Wagon,False,False,False,False,False
2020 Nissan Rogue S,$20364,5 Miles,Peoria AZ,?,7%,35,$0,S,Automatic,I-4 cyl-2.5L,FWD,5N1AT2MTXLC802601,Gasoline,RBY Caspian BL,Charcoal,New,5,26 city / 33 hwy,Wagon,False,False,False,False,False
2020 Nissan Rogue S,$20364,5 Miles,Peoria AZ,?,7%,34,$0,S,Automatic,I-4 cyl-2.5L,FWD,5N1AT2MTXLC803618,Gasoline,G41 Magnetic B,Charcoal,New,5,26 city / 33 hwy,Wagon,False,False,False,False,False
2019 Hyundai Elantra SEL,$13639,34k Miles,Peoria AZ,?,2%,20,-$856,SEL,Automatic,2.0L 4-Cylinder DOHC 16V,FWD,5NPD84LF9KH437096,Gasoline,Machine Gray,Gray,Used,34132,28 city / 37 hwy,Sedan,False,False,False,False,True
2020 Nissan Rogue S,$20364,5 Miles,Peoria AZ,?,7%,57,-$2540,S,Automatic,I-4 cyl-2.5L,FWD,JN8AT2MT1LW043571,Gasoline,G41 Magnetic B,Charcoal,New,5,26 city / 33 hwy,Wagon,False,False,False,False,False
2017 Toyota Prius Two,$17385,50k Miles,Peoria AZ,?,2%,17,-$1280,Two,Automatic,1.8L 4-Cylinder DOHC 16V VVT-i,FWD,JTDKBRFU4H3539085,Hybrid,Blue Crush Metallic,Black,Used,49694,54 city / 50 hwy,Hatchback,False,False,False,False,False
2020 Honda Civic LX,$20148,5 Miles,Delray Beach FL,?,2%,56,$0,LX,Automatic,I-4 cyl-2.0L,FWD,2HGFC2F65LH550899,Gasoline,Silver,BLACK,New,5,30 city / 38 hwy,Sedan,False,False,False,False,False
2020 Honda Civic LX,$20148,7 Miles,Delray Beach FL,?,2%,38,$0,LX,Automatic,I-4 cyl-2.0L,FWD,2HGFC2F69LH562487,Gasoline,Gray,GRAY,New,7,30 city / 38 hwy,Sedan,False,False,False,False,False
2017 Honda Civic EX-T,$16793,17k Miles,Delray Beach FL,?,11%,17,-$205,EX-T,Automatic,1.5L I-4 DI DOHC Turbocharged,FWD,2HGFC3B32HH361958,Gasoline,Lunar Silver Metallic,Black/Gray,Certified pre-owned,17260,31 city / 40 hwy,Coupe,True,True,True,False,True
2020 Honda Civic EX,$22879,6 Miles,Delray Beach FL,?,5%,21,$0,EX,Automatic,I-4 cyl-1.5L,FWD,2HGFC3B38LH353078,Gasoline,White,BLACK,New,6,31 city / 40 hwy,Coupe,True,False,False,False,False
2020 Honda CR-V Touring,$33725,6 Miles,Delray Beach FL,?,2%,38,$0,Touring,Automatic,I-4 cyl-1.5L,AWD,2HKRW2H93LH654244,Gasoline,White,BLACK,New,6,27 city / 32 hwy,Suv,False,False,True,False,False
2020 Honda Odyssey EX,$32927,11 Miles,Delray Beach FL,?,4%,38,$0,EX,Automatic,V-6 cyl-3.5L,FWD,5FNRL6H58LB067954,Gasoline,Gray,GRAY,New,11,19 city / 28 hwy,Van,False,False,False,False,False
2020 Honda Ridgeline RTL-E,$39522,2k Miles,Delray Beach FL,?,5%,199,-$3618,RTL-E,Automatic,V-6 cyl-3.5L,AWD,5FPYK3F79LB003284,Gasoline,Gray,BLACK,New,2185,19 city / 24 hwy,Pickup,True,True,True,True,False
2017 Honda CR-V EX-L,$21992,21k Miles,Delray Beach FL,?,15%,20,-$908,EX-L,Automatic,1.5L I4 DOHC 16V,FWD,7FARW1H84HE019433,Gasoline,Basque Red Pearl II,Gray,Certified pre-owned,21212,28 city / 34 hwy,Suv,True,True,True,True,True
2020 Honda Civic LX,$20148,7 Miles,Delray Beach FL,?,2%,72,$0,LX,Automatic,I-4 cyl-2.0L,FWD,19XFC2F63LE018478,Gasoline,Gray,GRAY,New,7,30 city / 38 hwy,Sedan,False,False,False,False,False
2020 Honda Civic Sport,$21722,6 Miles,Delray Beach FL,?,4%,35,$0,Sport,Automatic,I-4 cyl-2.0L,FWD,19XFC2F80LE020979,Gasoline,White,Black,New,6,29 city / 37 hwy,Sedan,False,False,False,False,False
2020 Honda Civic Sport,$21722,6 Miles,Delray Beach FL,?,4%,35,$0,Sport,Automatic,I-4 cyl-2.0L,FWD,19XFC2F85LE020976,Gasoline,White,Black,New,6,29 city / 37 hwy,Sedan,False,False,False,False,False
2020 Honda Insight Touring,$27268,6 Miles,Delray Beach FL,?,2%,197,-$499,Touring,Automatic,I-4 cyl-1.5L,FWD,19XZE4F9XLE009290,Hybrid,White,BLACK,New,6,51 city / 45 hwy,Sedan,False,True,True,False,False
2017 Honda Accord EX-L,$18513,22k Miles,Delray Beach FL,?,13%,20,-$438,EX-L,Automatic,2.4L I4 DOHC i-VTEC 16V,FWD,1HGCR2F83HA251677,Gasoline,Modern Steel Metallic,Gray,Certified pre-owned,21780,27 city / 36 hwy,Sedan,True,True,True,True,True
2017 Honda Accord EX-L,$18513,22k Miles,Delray Beach FL,?,13%,20,-$438,EX-L,Automatic,2.4L I4 DOHC i-VTEC 16V,FWD,1HGCR2F83HA251677,Gasoline,Modern Steel Metallic,Gray,Certified pre-owned,21780,27 city / 36 hwy,Sedan,True,True,True,True,True
2020 Honda Civic Si,$24361,6 Miles,Delray Beach FL,?,2%,9,$0,Si,Manual,I-4 cyl-1.5L,FWD,2HGFC1E55LH706121,Gasoline,White,Black,New,6,26 city / 36 hwy,Sedan,False,False,True,False,False
2020 Honda Civic Sport,$22000,7 Miles,Delray Beach FL,?,3%,9,$0,Sport,Automatic,I-4 cyl-2.0L,FWD,2HGFC4B83LH305277,Gasoline,Black,Black,New,7,29 city / 36 hwy,Coupe,False,False,False,False,False
2020 Honda CR-V EX-L,$29419,6 Miles,Delray Beach FL,?,6%,16,$0,EX-L,Automatic,I-4 cyl-1.5L,FWD,2HKRW1H82LH415558,Gasoline,Gray,BLACK,New,6,28 city / 34 hwy,Suv,False,False,True,True,False
2020 Honda HR-V EX,$24424,7 Miles,Delray Beach FL,?,5%,18,$0,EX,Automatic,I-4 cyl-1.8L,FWD,3CZRU5H55LM714503,Gasoline,Silver,BLACK,New,7,28 city / 34 hwy,Wagon,True,False,False,False,False
2020 Honda Fit Sport,$18864,6 Miles,Delray Beach FL,?,1%,17,$0,Sport,Automatic,I-4 cyl-1.5L,FWD,3HGGK5H6XLM721427,Gasoline,White,Black,New,6,31 city / 36 hwy,Hatchback,False,False,False,False,False
2020 Honda Fit EX,$19501,7 Miles,Delray Beach FL,?,0%,17,$0,EX,Automatic,I-4 cyl-1.5L,FWD,3HGGK5H85LM719683,Gasoline,Blue,Black,New,7,31 city / 36 hwy,Hatchback,False,False,False,False,False
2019 Nissan Sentra SV,$12488,24k Miles,Delray Beach FL,?,6%,15,-$2312,SV,Automatic,1.8L 4-Cylinder DOHC 16V,FWD,3N1AB7AP6KL603403,Gasoline,Silver,Charcoal,Used,24175,29 city / 37 hwy,Sedan,False,False,False,False,True
2015 Honda Odyssey EX-L,$19513,48k Miles,Delray Beach FL,?,17%,15,-$387,EX-L,Automatic,3.5L V6 SOHC i-VTEC 24V,FWD,5FNRL5H69FB088299,Gasoline,Modern Steel Metallic,Gray,Used,47846,19 city / 28 hwy,Van,True,True,True,True,True
2017 Honda Odyssey EX-L,$23291,36k Miles,Delray Beach FL,?,13%,35,-$708,EX-L,Automatic,3.5L V6 SOHC i-VTEC 24V,FWD,5FNRL5H6XHB027031,Gasoline,Modern Steel Metallic,Gray,Certified pre-owned,35997,19 city / 27 hwy,Van,True,True,True,True,True
2017 Honda Odyssey EX-L,$23291,36k Miles,Delray Beach FL,?,13%,35,-$708,EX-L,Automatic,3.5L V6 SOHC i-VTEC 24V,FWD,5FNRL5H6XHB027031,Gasoline,Modern Steel Metallic,Gray,Certified pre-owned,35997,19 city / 27 hwy,Van,True,True,True,True,True
2020 Honda CR-V EX-L,$29419,6 Miles,Delray Beach FL,?,6%,9,$0,EX-L,Automatic,I-4 cyl-1.5L,FWD,5J6RW1H81LA014794,Gasoline,White,BLACK,New,6,28 city / 34 hwy,Suv,False,False,True,True,False
2017 Honda CR-V EX-L,$19288,52k Miles,Delray Beach FL,?,12%,42,-$697,EX-L,Automatic,1.5L I4 DOHC 16V,FWD,5J6RW1H82HL002438,Gasoline,Dark Olive Metallic,Black,Used,52137,28 city / 34 hwy,Suv,True,True,True,True,True
2020 Honda CR-V EX-L,$29419,6 Miles,Delray Beach FL,?,6%,9,$0,EX-L,Automatic,I-4 cyl-1.5L,FWD,5J6RW1H88LA014808,Gasoline,White,BLACK,New,6,28 city / 34 hwy,Suv,False,False,True,True,False
2017 Honda Civic EX-T,$16749,32k Miles,Delray Beach FL,?,5%,21,-$747,EX-T,Automatic,1.5L I-4 DI DOHC Turbocharged,FWD,19XFC1F33HE016107,Gasoline,White Orchid Pearl,Black,Certified pre-owned,32211,32 city / 42 hwy,Sedan,True,False,True,False,True
2018 Honda Civic LX,$13975,41k Miles,Delray Beach FL,?,9%,23,-$431,LX,Automatic,2.0L I4 DOHC 16V i-VTEC,FWD,19XFC2F56JE029141,Gasoline,Modern Steel Metallic,Black,Certified pre-owned,41373,31 city / 40 hwy,Sedan,False,False,False,False,False
2017 Honda Civic EX,$14970,31k Miles,Delray Beach FL,?,14%,10,$0,EX,Automatic,2.0L I4 DOHC 16V i-VTEC,FWD,19XFC2F71HE060521,Gasoline,Cosmic Blue Metallic,Gray,Used,31013,31 city / 40 hwy,Sedan,False,False,True,False,True
2020 Honda Civic Si,$24361,5 Miles,Delray Beach FL,?,2%,17,$0,Si,Manual,I-4 cyl-1.5L,FWD,2HGFC1E58LH705495,Gasoline,White,Black,New,5,26 city / 36 hwy,Sedan,False,False,True,False,False
2020 Honda Civic LX,$20148,5 Miles,Delray Beach FL,?,2%,56,$0,LX,Automatic,I-4 cyl-2.0L,FWD,2HGFC2F65LH550899,Gasoline,Silver,BLACK,New,5,30 city / 38 hwy,Sedan,False,False,False,False,False
2020 Honda Civic LX,$20148,7 Miles,Delray Beach FL,?,2%,38,$0,LX,Automatic,I-4 cyl-2.0L,FWD,2HGFC2F69LH562487,Gasoline,Gray,GRAY,New,7,30 city / 38 hwy,Sedan,False,False,False,False,False
2017 Honda Civic EX-T,$16793,17k Miles,Delray Beach FL,?,11%,17,-$205,EX-T,Automatic,1.5L I-4 DI DOHC Turbocharged,FWD,2HGFC3B32HH361958,Gasoline,Lunar Silver Metallic,Black/Gray,Certified pre-owned,17260,31 city / 40 hwy,Coupe,True,True,True,False,True
2020 Honda Civic EX,$22879,6 Miles,Delray Beach FL,?,5%,21,$0,EX,Automatic,I-4 cyl-1.5L,FWD,2HGFC3B38LH353078,Gasoline,White,BLACK,New,6,31 city / 40 hwy,Coupe,True,False,False,False,False
2020 Honda CR-V Touring,$33725,6 Miles,Delray Beach FL,?,2%,38,$0,Touring,Automatic,I-4 cyl-1.5L,AWD,2HKRW2H93LH654244,Gasoline,White,BLACK,New,6,27 city / 32 hwy,Suv,False,False,True,False,False
2020 Honda Odyssey EX,$32927,11 Miles,Delray Beach FL,?,4%,38,$0,EX,Automatic,V-6 cyl-3.5L,FWD,5FNRL6H58LB067954,Gasoline,Gray,GRAY,New,11,19 city / 28 hwy,Van,False,False,False,False,False
2020 Honda Ridgeline RTL-E,$39522,2k Miles,Delray Beach FL,?,5%,199,-$3618,RTL-E,Automatic,V-6 cyl-3.5L,AWD,5FPYK3F79LB003284,Gasoline,Gray,BLACK,New,2185,19 city / 24 hwy,Pickup,True,True,True,True,False
2017 Honda CR-V EX-L,$21992,21k Miles,Delray Beach FL,?,15%,20,-$908,EX-L,Automatic,1.5L I4 DOHC 16V,FWD,7FARW1H84HE019433,Gasoline,Basque Red Pearl II,Gray,Certified pre-owned,21212,28 city / 34 hwy,Suv,True,True,True,True,True
2020 Honda Civic LX,$20148,7 Miles,Delray Beach FL,?,2%,72,$0,LX,Automatic,I-4 cyl-2.0L,FWD,19XFC2F63LE018478,Gasoline,Gray,GRAY,New,7,30 city / 38 hwy,Sedan,False,False,False,False,False
2020 Honda Civic Sport,$21722,6 Miles,Delray Beach FL,?,4%,35,$0,Sport,Automatic,I-4 cyl-2.0L,FWD,19XFC2F80LE020979,Gasoline,White,Black,New,6,29 city / 37 hwy,Sedan,False,False,False,False,False
2020 Honda Civic Sport,$21722,6 Miles,Delray Beach FL,?,4%,35,$0,Sport,Automatic,I-4 cyl-2.0L,FWD,19XFC2F85LE020976,Gasoline,White,Black,New,6,29 city / 37 hwy,Sedan,False,False,False,False,False
2020 Honda Insight Touring,$27268,6 Miles,Delray Beach FL,?,2%,197,-$499,Touring,Automatic,I-4 cyl-1.5L,FWD,19XZE4F9XLE009290,Hybrid,White,BLACK,New,6,51 city / 45 hwy,Sedan,False,True,True,False,False
2017 Honda Accord EX-L,$18513,22k Miles,Delray Beach FL,?,13%,20,-$438,EX-L,Automatic,2.4L I4 DOHC i-VTEC 16V,FWD,1HGCR2F83HA251677,Gasoline,Modern Steel Metallic,Gray,Certified pre-owned,21780,27 city / 36 hwy,Sedan,True,True,True,True,True
2021 Honda Pilot Touring 7 Passenger FWD,$44340,8 Miles,Delray Beach FL,?,0%,36,$0,Touring 7 Passenger FWD,Automatic,V-6 cyl-3.5L,FWD,5FNYF5H65MB000655,?,Black,BLACK,New,8,?,Suv,False,False,False,True,False
2021 Honda Pilot Black Edition AWD,$51040,15 Miles,Delray Beach FL,?,0%,36,$0,Black Edition AWD,Automatic,V-6 cyl-3.5L,AWD,5FNYF6H75MB002758,?,Black,Black,New,15,?,Suv,False,False,True,False,False
2013 Hyundai Elantra GLS,$7413,60k Miles,Delray Beach FL,?,29%,10,-$90,GLS,Automatic,1.8L 4-Cylinder DOHC 16V Dual CVVT,FWD,5NPDH4AE9DH290226,Gasoline,Desert Bronze,Beige,Used,59879,28 city / 38 hwy,Sedan,False,False,False,False,True
2020 Honda CR-V Touring,$32321,6 Miles,Delray Beach FL,?,6%,155,-$2049,Touring,Automatic,I-4 cyl-1.5L,FWD,7FARW1H95LE009916,Gasoline,Blue,BLACK,New,6,28 city / 34 hwy,Suv,False,True,True,False,False
2018 Honda Civic Sport,$17888,40k Miles,Delray Beach FL,?,1%,21,+$1098,Sport,Automatic,1.5L I4 DOHC 16V,FWD,SHHFK7H49JU234059,Gasoline,Crystal Black Pearl,Black,Used,39817,30 city / 36 hwy,Hatchback,False,True,False,False,True
2018 Honda Civic LX,$13493,36k Miles,Delray Beach FL,?,14%,36,-$2407,LX,Automatic,2.0L I4 DOHC 16V i-VTEC,FWD,19XFC2F58JE021526,Gasoline,Lunar Silver Metallic,Black,Used,35534,31 city / 40 hwy,Sedan,False,False,False,False,False
2020 Honda Civic LX,$20148,6 Miles,Delray Beach FL,?,2%,190,-$499,LX,Automatic,I-4 cyl-2.0L,FWD,19XFC2F6XLE011334,Gasoline,White,BLACK,New,6,30 city / 38 hwy,Sedan,False,False,False,False,False
2020 Honda Civic Sport,$21954,5 Miles,Delray Beach FL,?,3%,23,-$52,Sport,Automatic,I-4 cyl-2.0L,FWD,19XFC2F89LE020818,Gasoline,Blue,Black,New,5,29 city / 37 hwy,Sedan,False,True,False,False,False
2021 Honda Insight EX,$26160,6 Miles,Delray Beach FL,?,0%,42,+$355,EX,Automatic,I-4 cyl-1.5L,FWD,19XZE4F53ME001353,Hybrid,White,BLACK,New,6,55 city / 49 hwy,Sedan,False,False,False,False,False
2020 Honda Insight Touring,$27268,6 Miles,Delray Beach FL,?,2%,206,-$499,Touring,Automatic,I-4 cyl-1.5L,FWD,19XZE4F90LE007855,Hybrid,Blue,IVORY,New,6,51 city / 45 hwy,Sedan,False,True,True,False,False
2020 Honda Insight Touring,$27243,6 Miles,Delray Beach FL,?,2%,335,-$2027,Touring,Automatic,I-4 cyl-1.5L,FWD,19XZE4F95LE001078,Hybrid,White,BLACK,New,6,51 city / 45 hwy,Sedan,False,True,True,False,False
2019 Honda Accord LX,$20316,8k Miles,Delray Beach FL,?,6%,23,-$934,LX,Automatic,1.5T I4 DOHC 16V Turbocharged VTEC,FWD,1HGCV1F14KA034297,Gasoline,Champagne Frost Pearl,Ivory,Certified pre-owned,8416,30 city / 38 hwy,Sedan,False,False,False,False,True
2020 Honda Accord EX-L,$28913,7 Miles,Delray Beach FL,?,5%,22,$0,EX-L,Automatic,I-4 cyl-1.5L,FWD,1HGCV1F52LA099072,Gasoline,White,IVORY,New,7,30 city / 38 hwy,Sedan,False,False,False,False,False
2020 Honda Accord Sport,$29771,7 Miles,Delray Beach FL,?,8%,22,$0,Sport,Automatic,I-4 cyl-2.0L,FWD,1HGCV2F30LA025315,Gasoline,Gray,Black,New,7,22 city / 32 hwy,Sedan,True,False,True,False,False
2017 Honda Civic LX,$14740,17k Miles,Delray Beach FL,?,11%,17,-$258,LX,Automatic,2.0L I4 DOHC 16V i-VTEC,FWD,2HGFC2F51HH559601,Gasoline,White Orchid Pearl,Ivory,Certified pre-owned,17030,31 city / 40 hwy,Sedan,False,False,False,False,False
2020 Honda Civic LX,$20287,7 Miles,Delray Beach FL,?,2%,8,$0,LX,Automatic,I-4 cyl-2.0L,FWD,2HGFC2F65LH569713,Gasoline,Silver,BLACK,New,7,30 city / 38 hwy,Sedan,False,False,False,False,False
2018 Honda Civic EX,$16513,29k Miles,Delray Beach FL,?,9%,14,+$66,EX,Automatic,2.0L I4 DOHC 16V i-VTEC,FWD,2HGFC2F74JH568283,Gasoline,White Orchid Pearl,Black,Certified pre-owned,28745,31 city / 40 hwy,Sedan,False,False,True,False,True
2020 Honda Civic Si,$24361,5 Miles,Delray Beach FL,?,2%,33,$0,Si,Manual,I-4 cyl-1.5L,FWD,2HGFC3A50LH753669,Gasoline,Blue,Black,New,5,26 city / 36 hwy,Coupe,True,True,True,False,False
2020 Honda Civic Si,$24361,5 Miles,Delray Beach FL,?,2%,33,$0,Si,Manual,I-4 cyl-1.5L,FWD,2HGFC3A50LH753669,Gasoline,Blue,Black,New,5,26 city / 36 hwy,Coupe,True,True,True,False,False
2017 Toyota RAV4 LE,$15888,64k Miles,Delray Beach FL,Hot Car,4%,23,+$1388,LE,Automatic,2.5L 4-Cylinder DOHC Dual VVT-i,FWD,2T3ZFREV3HW319575,Gasoline,Black,Black,Used,63801,23 city / 30 hwy,Suv,False,True,True,False,True
2020 Honda Fit LX,$17495,12 Miles,Delray Beach FL,?,0%,156,-$450,LX,Automatic,I-4 cyl-1.5L,FWD,3HGGK5H46LM710889,Gasoline,White,Black,New,12,33 city / 40 hwy,Hatchback,False,False,False,False,False
2020 Honda Odyssey EX-L,$35910,7 Miles,Delray Beach FL,?,5%,192,+$1,EX-L,Automatic,V-6 cyl-3.5L,FWD,5FNRL6H78LB047236,Gasoline,Gray,GRAY,New,7,19 city / 28 hwy,Van,False,True,True,False,False
2020 Honda Passport EX-L,$34405,5 Miles,Delray Beach FL,?,8%,10,$0,EX-L,Automatic,V-6 cyl-3.5L,FWD,5FNYF7H53LB004947,Gasoline,White,BLACK,New,5,20 city / 25 hwy,Suv,False,True,True,False,False
2020 Honda HR-V Sport,$23019,15 Miles,Delray Beach FL,?,3%,188,+$1,Sport,Automatic,I-4 cyl-1.8L,FWD,3CZRU5H11LM704239,Gasoline,Black,Black,New,15,28 city / 34 hwy,Wagon,False,False,False,False,False
2020 Honda Fit EX,$19501,6 Miles,Delray Beach FL,?,0%,132,-$514,EX,Automatic,I-4 cyl-1.5L,FWD,3HGGK5H82LM712562,Gasoline,White,Black,New,6,31 city / 36 hwy,Hatchback,False,False,True,False,False
2020 Honda Fit EX,$19501,5 Miles,Delray Beach FL,?,0%,50,$0,EX,Automatic,I-4 cyl-1.5L,FWD,3HGGK5H89LM716642,Gasoline,Orange,Black,New,5,31 city / 36 hwy,Hatchback,False,False,True,False,False
2018 Honda Odyssey EX-L,$25991,26k Miles,Delray Beach FL,?,17%,10,-$150,EX-L,Automatic,3.5L V6 SOHC i-VTEC 24V,FWD,5FNRL6H79JB018583,Gasoline,Modern Steel Metallic,Gray,Used,26390,19 city / 28 hwy,Van,True,True,True,True,True
2021 Honda Pilot Touring 7 Passenger FWD,$44340,8 Miles,Delray Beach FL,?,0%,36,$0,Touring 7 Passenger FWD,Automatic,V-6 cyl-3.5L,FWD,5FNYF5H65MB000655,?,Black,BLACK,New,8,?,Suv,False,False,False,True,False
2021 Honda Pilot Black Edition AWD,$51040,15 Miles,Delray Beach FL,?,0%,36,$0,Black Edition AWD,Automatic,V-6 cyl-3.5L,AWD,5FNYF6H75MB002758,?,Black,Black,New,15,?,Suv,False,False,True,False,False
2013 Hyundai Elantra GLS,$7413,60k Miles,Delray Beach FL,?,29%,10,-$90,GLS,Automatic,1.8L 4-Cylinder DOHC 16V Dual CVVT,FWD,5NPDH4AE9DH290226,Gasoline,Desert Bronze,Beige,Used,59879,28 city / 38 hwy,Sedan,False,False,False,False,True
2017 Honda CR-V EX-L,$21263,35k Miles,Delray Beach FL,?,11%,10,-$735,EX-L,Automatic,1.5L I4 DOHC 16V,FWD,7FARW1H88HE023212,Gasoline,Crystal Black Pearl,Ivory,Certified pre-owned,35303,28 city / 34 hwy,Suv,True,True,True,True,True
2020 Honda CR-V Touring,$32321,6 Miles,Delray Beach FL,?,6%,155,-$2049,Touring,Automatic,I-4 cyl-1.5L,FWD,7FARW1H95LE009916,Gasoline,Blue,BLACK,New,6,28 city / 34 hwy,Suv,False,True,True,False,False
2020 Honda Civic LX,$21049,5 Miles,Delray Beach FL,?,1%,280,-$1531,LX,Automatic,I-4 cyl-1.5L,FWD,SHHFK7H39LU207129,Gasoline,Silver,Black,New,5,31 city / 40 hwy,Hatchback,False,False,False,False,False
2018 Honda Civic Sport,$17888,40k Miles,Delray Beach FL,?,1%,21,+$1098,Sport,Automatic,1.5L I4 DOHC 16V,FWD,SHHFK7H49JU234059,Gasoline,Crystal Black Pearl,Black,Used,39817,30 city / 36 hwy,Hatchback,False,True,False,False,True
2018 Honda Civic LX,$13493,36k Miles,Delray Beach FL,?,14%,36,-$2407,LX,Automatic,2.0L I4 DOHC 16V i-VTEC,FWD,19XFC2F58JE021526,Gasoline,Lunar Silver Metallic,Black,Used,35534,31 city / 40 hwy,Sedan,False,False,False,False,False
2020 Honda Civic LX,$20148,6 Miles,Delray Beach FL,?,2%,190,-$499,LX,Automatic,I-4 cyl-2.0L,FWD,19XFC2F6XLE011334,Gasoline,White,BLACK,New,6,30 city / 38 hwy,Sedan,False,False,False,False,False
2020 Honda Civic Sport,$21954,5 Miles,Delray Beach FL,?,3%,23,-$52,Sport,Automatic,I-4 cyl-2.0L,FWD,19XFC2F89LE020818,Gasoline,Blue,Black,New,5,29 city / 37 hwy,Sedan,False,True,False,False,False
2021 Honda Insight EX,$26160,6 Miles,Delray Beach FL,?,0%,42,+$355,EX,Automatic,I-4 cyl-1.5L,FWD,19XZE4F53ME001353,Hybrid,White,BLACK,New,6,55 city / 49 hwy,Sedan,False,False,False,False,False
2020 Honda Insight Touring,$27268,6 Miles,Delray Beach FL,?,2%,206,-$499,Touring,Automatic,I-4 cyl-1.5L,FWD,19XZE4F90LE007855,Hybrid,Blue,IVORY,New,6,51 city / 45 hwy,Sedan,False,True,True,False,False
2020 Honda Insight Touring,$27243,6 Miles,Delray Beach FL,?,2%,335,-$2027,Touring,Automatic,I-4 cyl-1.5L,FWD,19XZE4F95LE001078,Hybrid,White,BLACK,New,6,51 city / 45 hwy,Sedan,False,True,True,False,False
2019 Honda Accord LX,$20316,8k Miles,Delray Beach FL,?,6%,23,-$934,LX,Automatic,1.5T I4 DOHC 16V Turbocharged VTEC,FWD,1HGCV1F14KA034297,Gasoline,Champagne Frost Pearl,Ivory,Certified pre-owned,8416,30 city / 38 hwy,Sedan,False,False,False,False,True
2020 Honda Accord EX-L,$28913,7 Miles,Delray Beach FL,?,5%,22,$0,EX-L,Automatic,I-4 cyl-1.5L,FWD,1HGCV1F52LA099072,Gasoline,White,IVORY,New,7,30 city / 38 hwy,Sedan,False,False,False,False,False
2020 Honda Accord Sport,$29771,7 Miles,Delray Beach FL,?,8%,22,$0,Sport,Automatic,I-4 cyl-2.0L,FWD,1HGCV2F30LA025315,Gasoline,Gray,Black,New,7,22 city / 32 hwy,Sedan,True,False,True,False,False
2020 Honda Civic LX,$20287,7 Miles,Delray Beach FL,?,2%,8,$0,LX,Automatic,I-4 cyl-2.0L,FWD,2HGFC2F65LH569713,Gasoline,Silver,BLACK,New,7,30 city / 38 hwy,Sedan,False,False,False,False,False
2018 Honda Civic EX,$16513,29k Miles,Delray Beach FL,?,9%,14,+$66,EX,Automatic,2.0L I4 DOHC 16V i-VTEC,FWD,2HGFC2F74JH568283,Gasoline,White Orchid Pearl,Black,Certified pre-owned,28745,31 city / 40 hwy,Sedan,False,False,True,False,True
2020 Honda Civic Si,$24361,5 Miles,Delray Beach FL,?,2%,33,$0,Si,Manual,I-4 cyl-1.5L,FWD,2HGFC3A50LH753669,Gasoline,Blue,Black,New,5,26 city / 36 hwy,Coupe,True,True,True,False,False
2020 Honda Civic Si,$24361,5 Miles,Delray Beach FL,?,2%,33,$0,Si,Manual,I-4 cyl-1.5L,FWD,2HGFC3A50LH753669,Gasoline,Blue,Black,New,5,26 city / 36 hwy,Coupe,True,True,True,False,False
2017 Toyota RAV4 LE,$15888,64k Miles,Delray Beach FL,Hot Car,4%,23,+$1388,LE,Automatic,2.5L 4-Cylinder DOHC Dual VVT-i,FWD,2T3ZFREV3HW319575,Gasoline,Black,Black,Used,63801,23 city / 30 hwy,Suv,False,True,True,False,True
2020 Honda Fit LX,$17495,12 Miles,Delray Beach FL,?,0%,156,-$450,LX,Automatic,I-4 cyl-1.5L,FWD,3HGGK5H46LM710889,Gasoline,White,Black,New,12,33 city / 40 hwy,Hatchback,False,False,False,False,False
2020 Honda Odyssey EX-L,$35910,7 Miles,Delray Beach FL,?,5%,192,+$1,EX-L,Automatic,V-6 cyl-3.5L,FWD,5FNRL6H78LB047236,Gasoline,Gray,GRAY,New,7,19 city / 28 hwy,Van,False,True,True,False,False
2020 Honda Passport EX-L,$34405,5 Miles,Delray Beach FL,?,8%,10,$0,EX-L,Automatic,V-6 cyl-3.5L,FWD,5FNYF7H53LB004947,Gasoline,White,BLACK,New,5,20 city / 25 hwy,Suv,False,True,True,False,False
