year,make,model,trim,odometer,state,colorexterior,colorinterior,accidenthist,owner,usage,price
2019,CHEVROLET,IMPALA,LT WITH 1LT,29133,CA,SILVER,BLACK,N,1,PERSONAL,15317
2019,NISSAN,VERSA,S PLUS SEDAN CVT,61944,KY,BLACK,BLACK,N,1,PERSONAL,7800
2017,NISSAN,ROGUE,2017.5 SL AWD,20502,NC,WHITE,BEIGE,Y,1,PERSONAL,14999
2019,NISSAN,ROGUE,SV FWD,40675,CA,WHITE,BLACK,N,1,PERSONAL,16499
2019,NISSAN,SENTRA,SV CVT,29495,CA,SILVER,BLACK,N,1,PERSONAL,12731
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,14986,FL,WHITE,GRAY,N,1,FLEET,19999
2019,NISSAN,SENTRA,SV CVT,10707,PA,BLUE,BLACK,N,1,FLEET,12995
2019,TOYOTA,4RUNNER,SR5 4WD,34406,KS,BLACK,BLACK,N,1,PERSONAL,30999
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,37206,FL,BLACK,GRAY,Y,1,PERSONAL,11589
2017,MERCEDES-BENZ,CCLASS,C 300 SEDAN RWD,40803,CA,BLUE,GRAY,N,2,PERSONAL,21888
2019,HYUNDAI,ELANTRA,SEL 2.0L AUTOMATIC,43492,TN,SILVER,GRAY,Y,1,PERSONAL,12726
2020,TOYOTA,COROLLA,LE CVT,17173,OK,SILVER,UNKNOWN,N,1,PERSONAL,14988
2017,MERCEDES-BENZ,GLE,GLE 350 SUV RWD,15010,NC,BLACK,BLACK,N,1,PERSONAL,31950
2019,DODGE,GRAND CARAVAN,SXT,22485,KY,BLACK,BLACK,N,1,PERSONAL,17600
2020,TOYOTA,COROLLA,LE CVT,15985,TX,WHITE,BLACK,N,1,PERSONAL,15500
2019,FORD,FUSION,HYBRID SE FWD,33485,IL,GRAY,GRAY,N,1,PERSONAL,14857
2019,TOYOTA,4RUNNER,SR5 4WD,9127,UT,WHITE,BLACK,Y,1,FLEET,30798
2020,CHEVROLET,SILVERADO 1500,LT DOUBLE CAB STANDARD BED 4WD,8387,GA,WHITE,BLACK,N,1,FLEET,32995
2017,HYUNDAI,ELANTRA,LIMITED 2.0L SEDAN AUTOMATIC,27420,NV,GRAY,GRAY,N,1,FLEET,10999
2019,DODGE,GRAND CARAVAN,SXT,21103,CO,GRAY,BLACK,N,1,PERSONAL,17585
2009,TOYOTA,CAMRY,LE I4 AUTOMATIC,114348,UT,WHITE,BLACK,N,4,PERSONAL,5092
2019,RAM,1500 CLASSIC,"BIG HORN CREW CAB 6'4"" BOX 2WD",12265,FL,GRAY,BLACK,N,2,PERSONAL,24988
2019,CHEVROLET,IMPALA,LT WITH 1LT,30733,FL,GRAY,BLACK,N,1,PERSONAL,17999
2019,DODGE,GRAND CARAVAN,SXT,45072,GA,GRAY,BLACK,N,1,PERSONAL,14599
2010,TOYOTA,COROLLA,LE AUTOMATIC,98750,HI,SILVER,GRAY,N,1,PERSONAL,6995
2019,CHEVROLET,EXPRESS PASSENGER,3500 LT LWB,21857,IL,WHITE,GRAY,N,1,PERSONAL,17500
2012,CHEVROLET,CRUZE,LT WITH 2LT,135147,IL,RED,BROWN,N,3,FLEET,4993
2012,ACURA,TL,FWD AUTOMATIC WITH TECHNOLOGY PACKAGE,81267,AZ,SILVER,BLACK,Y,1,PERSONAL,8990
2019,KIA,SOUL,#NAME?,40054,CA,WHITE,BLACK,N,1,PERSONAL,12599
2019,KIA,OPTIMA,LX,41776,CA,SILVER,BLACK,N,1,FLEET,13100
