vin|year|make|model|trim|pricecategory|pricevariance|price|mileage|city|state|colorexterior|colorinterior|accidenthist|owner|usage
KNMAT2MT2KP503566|2019|Nissan|Rogue|SV FWD|Great Price|$601 off avg. list price|15238|34263|Sarasota|FL|Black|Black|no| 1| personal
4T1B11HK9KU197792|2019|Toyota|Camry|SE Automatic|Excellent Price|$1627 off avg. list price|16995|30470|Chantilly|VA|Black|Black|no| 1| personal
2C4RDGCG0KR674347|2019|Dodge|Grand Caravan|SXT|Excellent Price|$737 off avg. list price|16000|34745|Southern Pines|NC|Black|Black|no| 1| personal
5YFBURHE8HP691393|2017|Toyota|Corolla|SE CVT|Excellent Price|$1826 off avg. list price|11999|23874|Newport Beach|CA|Silver|Black|no| 2| fleet
5N1AN08W88C523741|2008|Nissan|Xterra|S 4WD Auto|||5098|132623|Murray|UT|Gray|Black|no| 4| personal
3N1AB7AP9KY332601|2019|Nissan|Sentra|S CVT|Great Price|$478 off avg. list price|12999|6982|Raynham|MA|Black|Black|no| 1| personal
WDDNG7BB5BA410059|2011|Mercedes-Benz|S-Class|S 550 Sedan RWD|Excellent Price|$4545 off avg. list price|19950|77400|Inglewood|CA|Black|Gray|no| 1| fleet
KNDJN2A28J7558656|2018|Kia|Soul|Base Automatic|Excellent Price|$1874 off avg. list price|9950|35043|Phoenix|AZ|Gray|Gray|1| 1| personal
1FTEW1E56JFD16533|2018|Ford|F-150|XLT SuperCrew 5.5' Box 4WD|Excellent Price|$5445 off avg. list price|34500|55181|Lake City|FL|Silver|Black|no| 1| personal
5YFEPRAEXLP089943|2020|Toyota|Corolla|LE CVT|Excellent Price|$641 off avg. list price|15999|5869|Bourbonnais|IL|Silver|Black|no| 1| personal
1VWBN7A32DC117978|2013|Volkswagen|Passat|TDI SE with Sunroof Sedan DSG|Excellent Price|$2323 off avg. list price|9980|55889|Conway|SC|White|Beige|no| 1| personal
5NPD84LF9KH419598|2019|Hyundai|Elantra|SEL 2.0L Automatic|Excellent Price|$698 off avg. list price|12500|38075|Fredericksburg|VA|Gray|Black|1| 2| fleet
1N4BL4EV5KC170003|2019|Nissan|Altima|SL FWD|Excellent Price|$924 off avg. list price|17500|40649|Matteson|IL|Gray|Black|1| 1| personal
2C3CCAKGXKH722745|2019|Chrysler|300|Limited AWD|Excellent Price|$2682 off avg. list price|24981|11652|Tulsa|OK|Blue|Black|no| 1| personal
JTJBC1BA9B2036219|2011|Lexus|RX|RX 450h Hybrid AWD|Excellent Price|$2123 off avg. list price|9988|233426|Pleasanton|CA|Black|Beige|no| 2| personal
KNMAT2MT5KP517929|2019|Nissan|Rogue|SV FWD|Excellent Price|$1001 off avg. list price|17164|32807|Indianapolis|IN|Silver|Black|1| 1| fleet
3N1AB7AP8KY310802|2019|Nissan|Sentra|S CVT|Excellent Price|$577 off avg. list price|13000|24215|Grand Rapids|MI|Silver|Black|no| 1| personal
4T1BF3EK2BU675696|2011|Toyota|Camry|LE I4 Automatic|||7499|91559|Murfreesboro|TN|White|Unknown|no| 2| fleet
KNAFU4A27B5393312|2011|Kia|Forte|EX Sedan Automatic|Excellent Price|$1008 off avg. list price|4978|99404|Richmond|CA|White|Brown|no| 1| personal
