colorexterior,colorinterior,accidenthist,owner,usage,price,age,odo,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,bodytype,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain
WHITE,BLACK,Y,1,FLEET,11.65,1,17.92,16.0,31,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,21.999,1,27.102,25.0,14,2.126715603110482,98.53846153846153,SEDAN,7.3,24.5,N,AWD
GRAY,BLACK,N,1,PERSONAL,16.5,1,38.237,16.0,8,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
WHITE,GRAY,N,2,PERSONAL,5.5,3,115.844,13.0,27,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
GRAY,GRAY,N,1,PERSONAL,13.995,1,32.777,10.0,14,13.832688602095642,71.61538461538461,SEDAN,8.2,26.0,N,FWD
SILVER,GRAY,Y,2,PERSONAL,6.999,7,79.672,13.0,11,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
BLACK,BLACK,Y,1,PERSONAL,11.5,3,46.619,18.0,39,8.336902292535045,48.69230769230769,SUV,7.4,31.0,N,AWD
BLACK,BLACK,N,1,PERSONAL,13.752,1,4.856,13.0,27,4.156328806440607,79.07692307692308,SEDAN,8.1,31.0,N,FWD
BLACK,BLACK,N,1,PERSONAL,13.03,1,35.62,16.0,49,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,15.885,1,26.788,16.0,49,6.28802759768661,76.23076923076923,SUV,7.4,29.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,14.995,1,22.788,14.0,34,3.9890632445645786,73.38461538461539,WAGON,8.5,28.5,N,FWD
SILVER,BLACK,N,2,FLEET,7.495,5,83.277,11.0,14,1.929191497070014,60.07692307692308,VAN/MINIVAN,8.3,30.5,N,FWD
GRAY,BLACK,N,1,PERSONAL,18.888,0,10.307,9.0,14,11.692583720044867,78.23076923076923,SEDAN,7.8,32.5,N,FWD
WHITE,BLACK,N,1,PERSONAL,10.988,2,38.717,16.0,49,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
BLACK,BLACK,N,2,PERSONAL,4.993,7,108.798,16.0,3,6.28802759768661,76.23076923076923,SEDAN,7.2,33.0,N,FWD
WHITE,BLACK,N,1,PERSONAL,18.994,0,15.493,9.0,27,11.692583720044867,78.23076923076923,SUV,8.4,29.0,N,AWD
WHITE,BLACK,N,1,FLEET,19.411,1,31.455,31.0,49,0.6898618253052382,94.76923076923077,SEDAN,8.0,20.5,N,AWD
WHITE,BLACK,N,1,PERSONAL,14.998,0,30.488,14.0,27,3.9890632445645786,73.38461538461539,SEDAN,8.4,28.5,N,FWD
