vin,make,model,pricecategory,price,city,state,colorexterior,colorinterior,accidenthist,owner,usage,discount,bodytype,ReliabilityRank,CostOfLivingRank,PercentSales,AvgDaysToTurn,ReviewScore,AvgMPG,LuxurySportsOrHybrid,drivetrain,age,odo
5N1DR2MN4KC607475,NISSAN,PATHFINDER,EXCELLENT PRICE,19700.0,FONTANA,CA,GRAY,BLACK,N,1,PERSONAL,Y,SUV,16.0,49,6.28802759768661,76.23076923076924,7.4,23.5,N,FWD,1.0,31.22
5YFEPRAE8LP049506,TOYOTA,COROLLA,EXCELLENT PRICE,14500.0,BOERNE,TX,SILVER,BLACK,N,1,PERSONAL,N,SEDAN,5.0,14,12.1872269830779,43.230769230769226,7.9,32.0,N,FWD,0.0,15.009
WA1CKAFP9AA069504,AUDI,Q5,NOT LISTED,6000.0,COLORADO SPRINGS,CO,SILVER,UNKNOWN,N,2,PERSONAL,N,SUV,15.0,33,1.2036513555233697,55.384615384615394,8.5,24.5,Y,FWD,10.0,146.56620378416707
JN1BV7AR6EM695216,INFINITI,Q50,EXCELLENT PRICE,11990.0,JACKSONVILLE,FL,BLACK,GRAY,Y,2,PERSONAL,Y,SEDAN,24.0,27,0.6528082167930821,68.30769230769229,7.4,26.5,Y,AWD,6.0,101.731
3FA6P0HD3HR413903,FORD,FUSION,GREAT PRICE,13991.0,PHOENIX,AZ,SILVER,BLACK,N,1,PERSONAL,Y,SEDAN,10.0,29,13.832688602095642,71.61538461538461,8.2,26.0,N,FWD,3.0,43.979
1GNSKHKC3KR376917,CHEVROLET,SUBURBAN,GREAT PRICE,34643.531376481704,PHOENIX,AZ,BLACK,BLACK,N,1,PERSONAL,Y,SUV,9.0,29,11.692583720044867,78.23076923076924,7.6,18.5,N,AWD,1.0,37.171
2T1CG22P91C437193,TOYOTA,CAMRY SOLARA,NOT LISTED,2500.0,AKRON,OH,WHITE,UNKNOWN,N,2,PERSONAL,N,COUPE,5.0,15,12.1872269830779,43.230769230769226,7.9,28.5,U,FWD,11.547138900174604,146.56620378416707
KMHD74LF2HU367406,HYUNDAI,ELANTRA,GREAT PRICE,11991.0,ROSWELL,GA,BLACK,GRAY,N,1,PERSONAL,Y,SEDAN,13.0,10,4.156328806440607,79.07692307692308,8.1,31.0,N,FWD,3.0,26.284
KNMAT2MT6KP542726,NISSAN,ROGUE,GREAT PRICE,17250.0,OWINGS MILLS,MD,WHITE,BLACK,N,1,PERSONAL,Y,SUV,16.0,45,6.28802759768661,76.23076923076924,7.4,29.5,N,FWD,1.0,29.797
5XXGT4L39LG383328,KIA,OPTIMA,GREAT PRICE,15597.0,DALLAS,TX,WHITE,BLACK,N,1,PERSONAL,N,SEDAN,14.0,14,3.9890632445645786,73.38461538461539,8.4,28.5,N,FWD,0.0,33.342
